Fe,Cr,Mo,T,NP_BCC_A2,NP_CHI_A12,NP_FCC_A1,NP_LAVES_PHASE,NP_LIQUID,NP_MU_PHASE,NP_MU_PHASE_I,NP_R_PHASE,NP_SIGMA,GM,HM,SM,CPM,converged,in_stainless_box
0.14000000000000007,0.46818181818181814,0.3918181818181818,1300.0,0.7384186697117572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2615813306283432,-63947.4554001841,0.0,0.0,0.0,True,0
0.4110381239731148,0.3464034381812937,0.24255843784559147,746.1755664566497,0.2762813914678034,0.0,0.0,0.7237186085310813,0.0,0.0,0.0,0.0,0.0,-28553.362529174992,0.0,0.0,0.0,True,0
0.759905358424723,0.15106392320427756,0.08903071837099952,994.9816380266113,0.7283388832172781,0.07037398617512226,0.0,0.20128713057273137,0.0,0.0,0.0,0.0,0.0,-44012.6584813836,0.0,0.0,0.0,True,1
0.9488865075920508,0.021341839048000143,0.029771653359949024,991.9579018800919,0.9623115073932457,0.0,0.0,0.03768849260677186,0.0,0.0,0.0,0.0,0.0,-42667.16051228231,0.0,0.0,0.0,True,1
0.9524561413626844,0.03151794623296762,0.016025912404347885,1293.8750261112878,0.20749215851476593,0.0,0.7925078414855594,0.0,0.0,0.0,0.0,0.0,0.0,-65379.9752153548,0.0,0.0,0.0,True,1
0.5519702113718558,0.42692324870655823,0.0211065399215861,1389.0845781757353,0.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73617.84167479064,0.0,0.0,0.0,True,0
0.33542809367465776,0.4500252583372364,0.21454664798810588,961.450973802508,0.0,0.0,0.0,0.0,0.0,0.09579906360193598,0.0,0.0,0.9042009364176427,-41348.117292637144,0.0,0.0,0.0,True,0
0.7902436988394552,0.15444458498281752,0.055311716177727246,1777.0929250633653,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,-110440.37713848552,0.0,0.0,0.0,True,1
0.44545454545454544,0.3918181818181818,0.16272727272727272,900.0,0.0,0.0,0.0,0.279469263929494,0.0,0.0,0.0,0.0,0.7205307430646946,-37471.5665589275,0.0,0.0,0.0,True,0
0.9933369785063009,0.0025340297354041795,0.0041289917582949445,1749.5015718798454,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103114.62247162145,0.0,0.0,0.0,True,1
