Fe,Mn,Ni,T,NP_ALPHA_MN,NP_BCC_A2,NP_BETA_MN,NP_FCC_A1,NP_LIQUID,NP_MNNI,NP_MNNI2,GM,HM,SM,CPM,converged,in_stainless_box
0.7032673297525962,0.24685211180660083,0.049880558440802955,723.3920084664057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30849.788364738524,0.0,0.0,0.0,True,1
0.2927272727272728,0.6209090909090909,0.08636363636363635,1100.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,-62989.14874709407,0.0,0.0,0.0,True,0
0.559897757300089,0.12033800915622628,0.3197642335436847,1112.751716511872,0.0,0.0,0.0,0.9999999999999993,0.0,0.0,0.0,-63057.887489083274,0.0,0.0,0.0,True,0
0.47054656784640003,0.32548797300293825,0.20396545915066164,1123.3836371694247,0.0,0.0,0.0,0.9999999999999992,0.0,0.0,0.0,-66229.12572728872,0.0,0.0,0.0,True,0
0.0673154546685375,0.3984344240231519,0.5342501213083106,1782.2740812991199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-134272.83580682904,0.0,0.0,0.0,True,0
0.9594307369156458,0.019697300803201773,0.02087196228115235,1141.1724462229529,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-54366.26312205074,0.0,0.0,0.0,True,1
0.7199978921885988,0.2779765500561451,0.0020255577552561457,1969.8291803641328,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,-138658.33262617543,0.0,0.0,0.0,True,1
0.5776004729572256,0.3451608140814282,0.07723871296134623,992.4809520493704,0.0,0.0,0.0,1.0000000000000007,0.0,0.0,0.0,-52448.80227278639,0.0,0.0,0.0,True,0
0.9504902227106333,0.01880914894243061,0.030700628346936047,1744.1664088392452,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-105753.07296784678,0.0,0.0,0.0,True,1
0.9691364241909092,0.015412057901482666,0.015451517907608082,1233.7206945473372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-61085.602984120436,0.0,0.0,0.0,True,1
0.9855638126305422,0.005000592486883968,0.009435594882573844,1277.1459300470365,0.0,0.0,0.0,0.9999999999985866,0.0,0.0,0.0,-63608.168055351794,0.0,0.0,0.0,True,1
0.6310181141141875,0.23583019084738543,0.13315169503842708,792.1634453047304,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,-37570.15405410524,0.0,0.0,0.0,True,1
0.260090572525276,0.08649107765871121,0.6534183498160128,809.8411844705763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-41749.868832531814,0.0,0.0,0.0,True,0
0.4465447373436557,0.2696452004807034,0.2838100621756409,1626.994749338975,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,-112932.02422823096,0.0,0.0,0.0,True,0
0.3690909090909092,0.23909090909090908,0.3918181818181818,1500.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,-101134.41044389665,0.0,0.0,0.0,True,0
0.35176415116340465,0.24313086559874264,0.4051049832378527,1209.5355916189392,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,-75398.67920601317,0.0,0.0,0.0,True,0
0.983069085860449,0.005230424782046859,0.01170048935750414,1295.0933920769853,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-65172.901315488634,0.0,0.0,0.0,True,1
0.542386289019677,0.40461361177380606,0.05300009920651695,911.6339981201581,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-46065.10435235722,0.0,0.0,0.0,True,0
0.14000000000000007,0.46818181818181814,0.3918181818181818,1300.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-85941.91024189394,0.0,0.0,0.0,True,0
0.4110381239731148,0.3464034381812937,0.24255843784559147,746.1755664566497,0.0,0.0,0.0,0.9999999999999994,0.0,0.0,0.0,-38115.89774735167,0.0,0.0,0.0,True,0
0.759905358424723,0.15106392320427756,0.08903071837099952,994.9816380266113,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,-49657.608725361126,0.0,0.0,0.0,True,1
0.9488865075920508,0.021341839048000143,0.029771653359949024,991.9579018800919,0.0,0.42289499527868213,0.0,0.5771050047091278,0.0,0.0,0.0,-43731.48856892148,0.0,0.0,0.0,True,1
0.9524561413626844,0.03151794623296762,0.016025912404347885,1293.8750261112878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-66698.01826656169,0.0,0.0,0.0,True,1
0.5519702113718558,0.42692324870655823,0.0211065399215861,1389.0845781757353,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,-84317.30109712508,0.0,0.0,0.0,True,0
0.33542809367465776,0.4500252583372364,0.21454664798810588,961.450973802508,0.0,0.0,0.0,0.9999999999999994,0.0,0.0,0.0,-54572.680387895525,0.0,0.0,0.0,True,0
0.7902436988394552,0.15444458498281752,0.055311716177727246,1777.0929250633653,0.0,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,-117055.38472024514,0.0,0.0,0.0,True,1
0.44545454545454544,0.3918181818181818,0.16272727272727272,900.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-48167.739174816794,0.0,0.0,0.0,True,0
0.9933369785063009,0.0025340297354041795,0.0041289917582949445,1749.5015718798454,0.0,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,-103285.89350499514,0.0,0.0,0.0,True,1
0.5206176584905001,0.4076738627412595,0.07170847876824038,802.001167855418,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-38649.53194520621,0.0,0.0,0.0,True,0
0.6606416505067255,0.09972730391563117,0.23963104557764325,1451.7121754540606,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,-89833.2598331778,0.0,0.0,0.0,True,1
0.4061246690995219,0.4134623332465216,0.18041299765395652,1545.8057597589027,0.0,0.0,0.0,0.15716330173805781,0.8428366982600713,0.0,0.0,-105009.51695304649,0.0,0.0,0.0,True,0
0.4898249240744853,0.4028105232985585,0.10736455262695621,1023.8349474283302,0.0,0.0,0.0,0.9999999999999996,0.0,0.0,0.0,-56474.91862064388,0.0,0.0,0.0,True,0
