Fe,Cr,V,T,NP_BCC_A2,NP_FCC_A1,NP_LIQUID,NP_SIGMA,GM,HM,SM,CPM,converged
0.9488865075920508,0.021341839048000143,0.029771653359949024,991.9579018800919,0.9999999999999999,0.0,0.0,0.0,-43895.7871767862,0.0,0.0,0.0,True
0.9524561413626844,0.03151794623296762,0.016025912404347885,1293.8750261112878,0.4973668814280801,0.5026331185636809,0.0,0.0,-65960.19730716034,0.0,0.0,0.0,True
0.5519702113718558,0.42692324870655823,0.0211065399215861,1389.0845781757353,1.0000000000000004,0.0,0.0,0.0,-74383.16952938275,0.0,0.0,0.0,True
0.33542809367465776,0.4500252583372364,0.21454664798810588,961.450973802508,0.5316654974858436,0.0,0.0,0.46833450253806985,-46958.360271183716,0.0,0.0,0.0,True
0.7902436988394552,0.15444458498281752,0.055311716177727246,1777.0929250633653,1.0,0.0,0.0,0.0,-112141.40480018369,0.0,0.0,0.0,True
0.44545454545454544,0.3918181818181818,0.16272727272727272,900.0,0.12941219219111855,0.0,0.0,0.8705878078141178,-41954.69360632615,0.0,0.0,0.0,True
0.9933369785063009,0.0025340297354041795,0.0041289917582949445,1749.5015718798454,1.0,0.0,0.0,0.0,-103242.3577161711,0.0,0.0,0.0,True
0.5206176584905001,0.4076738627412595,0.07170847876824038,802.001167855418,0.010958912580144264,0.0,0.0,0.9890410874311919,-32562.709621527487,0.0,0.0,0.0,True
0.6606416505067255,0.09972730391563117,0.23963104557764325,1451.7121754540606,1.0,0.0,0.0,0.0,-88214.16688426728,0.0,0.0,0.0,True
0.4061246690995219,0.4134623332465216,0.18041299765395652,1545.8057597589027,1.0000000000000009,0.0,0.0,0.0,-93667.06220858,0.0,0.0,0.0,True
0.4898249240744853,0.4028105232985585,0.10736455262695621,1023.8349474283302,0.04185863814716507,0.0,0.0,0.9581413618573902,-49125.10389741669,0.0,0.0,0.0,True
0.5431509937119806,0.2368052963599451,0.22004370992807434,906.6338829853638,0.0,0.0,0.0,1.0000000000000007,-44716.2070435028,0.0,0.0,0.0,True
0.848061357651882,0.13408186487220308,0.017856777475914968,1351.6031463841591,1.0000000000000002,0.0,0.0,0.0,-71877.66688662764,0.0,0.0,0.0,True
0.6045533830335778,0.34357263599301846,0.05187398097340379,1087.4690598171867,0.14402259543394025,0.0,0.0,0.855977404557667,-52098.8751058602,0.0,0.0,0.0,True
0.9874870547224648,0.01165947358929531,0.0008534716882398597,1134.1231237113107,1.0,0.0,0.0,0.0,-52189.40007138757,0.0,0.0,0.0,True
0.9699928987107475,0.017343247460742086,0.012663853828510475,1356.3132406709765,0.0,0.9999999999999999,0.0,0.0,-70501.49388028377,0.0,0.0,0.0,True
0.7916528876043354,0.16481457756482198,0.043532534830842594,1429.2085180656702,1.0,0.0,0.0,0.0,-79947.57357724012,0.0,0.0,0.0,True
0.5981818181818183,0.08636363636363635,0.31545454545454543,1700.0,1.0,0.0,0.0,0.0,-112167.28545164074,0.0,0.0,0.0,True
0.9665587121578259,0.0042778761539076894,0.029163411688266402,887.3795633605092,1.0,0.0,0.0,0.0,-36762.83004419974,0.0,0.0,0.0,True
0.26232182932149295,0.07637650247112085,0.6613016682073862,1881.3976719424172,1.0,0.0,0.0,0.0,-128202.3059605724,0.0,0.0,0.0,True
0.7581521526363209,0.10652734984999017,0.13532049751368908,1845.211579749573,0.0,0.0,0.9999999999999997,0.0,-122186.90678074617,0.0,0.0,0.0,True
0.44717280684838345,0.23997532027414153,0.31285187287747507,1368.4268918737516,0.9287917260084437,0.0,0.0,0.07120827398690643,-82211.16744404341,0.0,0.0,0.0,True
0.3294743392472295,0.622584416133744,0.047941244619026435,820.4161513645657,0.4900551571688055,0.0,0.0,0.5099448428528839,-31910.755481852604,0.0,0.0,0.0,True
0.38507440613748584,0.2334651643962993,0.3814604294662149,735.811907678893,0.09029599903048524,0.0,0.0,0.9097040009981429,-36021.16774492242,0.0,0.0,0.0,True
0.04090814859967906,0.4410288280022983,0.5180630233980227,1660.97160895946,0.9999999999999997,0.0,0.0,0.0,-101961.30345521856,0.0,0.0,0.0,True
0.7547854008513585,0.10826203665527546,0.1369525624933661,1115.267631397822,0.9932170435603264,0.0,0.0,0.0067829564389928106,-57554.20850368497,0.0,0.0,0.0,True
0.6938224464482879,0.2787245661899363,0.027452987361775778,962.0172063267098,0.691308664152822,0.0,0.0,0.30869133582867936,-41985.98818176634,0.0,0.0,0.0,True
0.6922864242990935,0.13499554173885403,0.17271803396205251,1395.2701566457733,1.0000000000000004,0.0,0.0,0.0,-81698.606367775,0.0,0.0,0.0,True
0.46204271201280667,0.3174173913948657,0.22053989659232762,1102.769062086247,0.13232288515298415,0.0,0.0,0.8676771148551091,-58591.96437122264,0.0,0.0,0.0,True
0.6299350268377428,0.2480102426431359,0.12205473051912134,1604.0374402907792,1.0000000000000002,0.0,0.0,0.0,-98700.47715084297,0.0,0.0,0.0,True
0.394000699788257,0.16949988472237887,0.4364994154893641,924.8055000970108,0.010083058379452045,0.0,0.0,0.9899169416121598,-49539.64881984389,0.0,0.0,0.0,True
0.5897481564898424,0.33244334144904636,0.0778085020611112,1999.3845212813933,0.0,0.0,1.0,0.0,-135605.61369756542,0.0,0.0,0.0,True
0.8840598314292841,0.0022837002890657007,0.11365646828165026,1937.2968510161263,0.0,0.0,1.0,0.0,-128288.36144132089,0.0,0.0,0.0,True
0.5307088285293201,0.3272216492588469,0.14206952221183297,1790.2346139236133,0.9999999999999994,0.0,0.0,0.0,-116327.73291561959,0.0,0.0,0.0,True
0.9595779217286456,0.004568043611337363,0.03585403466001697,775.0746225998986,1.0000000000000002,0.0,0.0,0.0,-30362.494224349903,0.0,0.0,0.0,True
0.06555024376530322,0.6746682226674063,0.25978153356729045,853.1970711775804,0.9999999999999999,0.0,0.0,0.0,-38476.20062739015,0.0,0.0,0.0,True
0.44156405834993906,0.13540477241805096,0.42303116923201,1651.1425172742115,0.9999999999999998,0.0,0.0,0.0,-108870.67728657207,0.0,0.0,0.0,True
0.3589306094587161,0.37332029240020054,0.26774909814108333,1018.3111713518307,0.4752056522054349,0.0,0.0,0.5247943478004471,-52634.31696416378,0.0,0.0,0.0,True
0.6201313767897714,0.3438877953342094,0.03598082787601922,1480.3552658084063,1.0,0.0,0.0,0.0,-83633.78676067656,0.0,0.0,0.0,True
0.6283719935594009,0.05544114064944039,0.31618686579115873,1485.8161122688832,0.9999999999999998,0.0,0.0,0.0,-92409.22349718786,0.0,0.0,0.0,True
0.6725055420300345,0.13734262928233118,0.19015182868763422,933.7032201333853,0.2960756134592596,0.0,0.0,0.7039243865013193,-45833.098260119885,0.0,0.0,0.0,True
0.8037329260459501,0.04644153453142942,0.14982553942262045,1923.6142663686787,0.0,0.0,0.9999999999999993,0.0,-129996.9502450609,0.0,0.0,0.0,True
0.5773844938094836,0.3899369113514123,0.03267859483910406,757.7348935527657,0.9999999999999227,0.0,0.0,0.0,-28413.0175056216,0.0,0.0,0.0,True
0.5301961277557112,0.07845786002652612,0.3913460122177627,1962.0824448142762,0.0,0.0,1.0,0.0,-139652.4272390448,0.0,0.0,0.0,True
0.1958288018047356,0.07057047745156939,0.733600720743695,1988.383146049827,0.21581290829446562,0.0,0.784187091700214,0.0,-136166.12077179755,0.0,0.0,0.0,True
0.21185363696429915,0.15669881239153266,0.6314475506441681,1298.428232203456,0.9999999999999999,0.0,0.0,0.0,-76956.8222127952,0.0,0.0,0.0,True
0.7537774537225957,0.20480964112533795,0.041412905152066325,879.8882702251466,0.8512980065016071,0.0,0.0,0.14870199348647434,-37154.477559655934,0.0,0.0,0.0,True
0.557170530573055,0.41789635116628937,0.0249331182606556,778.9638438709761,0.20543898203757313,0.0,0.0,0.7945610179404009,-29254.69746846633,0.0,0.0,0.0,True
0.7093403854809555,0.25670736962253327,0.033952244896511316,874.736717565699,0.6797142946187403,0.0,0.0,0.32028570540870704,-36355.034490956845,0.0,0.0,0.0,True
0.28028329761720205,0.30923050208513947,0.4104862002976585,1096.1992275017283,1.0,0.0,0.0,0.0,-60497.034646683685,0.0,0.0,0.0,True
0.44545454545454555,0.5445454545454544,0.01,1300.0,0.9999999999999996,0.0,0.0,0.0,-65280.85002349458,0.0,0.0,0.0,True
0.6803874997187491,0.017143008352892945,0.302469491928358,1837.8550147606413,0.0,0.0,1.0000000000000002,0.0,-124462.90064305115,0.0,0.0,0.0,True
0.06268643277905273,0.5742977327881599,0.3630158344327874,1635.449422995434,1.0,0.0,0.0,0.0,-98597.70178555373,0.0,0.0,0.0,True
