Fe,Cr,Ni,T,NP_BCC_A2,NP_FCC_A1,NP_LIQUID,NP_SIGMA,GM,HM,SM,CPM,converged
0.8840598314292841,0.0022837002890657007,0.11365646828165026,1937.2968510161263,0.0,0.0,0.9999999999999998,0.0,-127447.94317509956,0.0,0.0,0.0,True
0.5307088285293201,0.3272216492588469,0.14206952221183297,1790.2346139236133,0.0,0.0,1.0,0.0,-115336.71110741567,0.0,0.0,0.0,True
0.9595779217286456,0.004568043611337363,0.03585403466001697,775.0746225998986,1.0,0.0,0.0,0.0,-29430.643790356284,0.0,0.0,0.0,True
0.06555024376530322,0.6746682226674063,0.25978153356729045,853.1970711775804,0.5769274369516985,0.42307256304859275,0.0,0.0,-33792.061643586996,0.0,0.0,0.0,True
0.44156405834993906,0.13540477241805096,0.42303116923201,1651.1425172742115,0.0,1.0000000000000002,0.0,0.0,-106604.72929777774,0.0,0.0,0.0,True
0.3589306094587161,0.37332029240020054,0.26774909814108333,1018.3111713518307,0.14471434852029813,0.7682053673076397,0.0,0.08708028416418895,-49065.70351159507,0.0,0.0,0.0,True
0.6201313767897714,0.3438877953342094,0.03598082787601922,1480.3552658084063,1.0000000000000002,0.0,0.0,0.0,-83134.00421780243,0.0,0.0,0.0,True
0.6283719935594009,0.05544114064944039,0.31618686579115873,1485.8161122688832,0.0,1.0,0.0,0.0,-90265.19586453967,0.0,0.0,0.0,True
0.6725055420300345,0.13734262928233118,0.19015182868763422,933.7032201333853,0.0,1.0000000000000007,0.0,0.0,-43524.1425193187,0.0,0.0,0.0,True
0.8037329260459501,0.04644153453142942,0.14982553942262045,1923.6142663686787,0.0,0.0,1.0000000000000002,0.0,-129069.30262821507,0.0,0.0,0.0,True
0.5773844938094836,0.3899369113514123,0.03267859483910406,757.7348935527657,0.31332545642847653,0.0,0.0,0.6866745435677502,-27722.853570966403,0.0,0.0,0.0,True
0.5301961277557112,0.07845786002652612,0.3913460122177627,1962.0824448142762,0.0,0.0,0.9999999999999994,0.0,-138100.2942123862,0.0,0.0,0.0,True
0.1958288018047356,0.07057047745156939,0.733600720743695,1988.383146049827,0.0,0.0,1.0,0.0,-138363.58186257383,0.0,0.0,0.0,True
0.21185363696429915,0.15669881239153266,0.6314475506441681,1298.428232203456,0.0,1.0,0.0,0.0,-74918.58822841999,0.0,0.0,0.0,True
